no,职位,公司名,薪资,经验,学历,位置,关键词,描述,详细位置,详情页
27,大数据ETL开发工程师,翀远,10-15K·14薪,1-3年,本科,上海·浦东新区·张江,"Shell,SQL,Kettle,Spark,Sqoop,Azkaban","['岗位职责：', '1、配合项目团队完成数据仓库 / 数据集市的 ETL 设计开发；', '2、负责 ETL 的开发与优化工作，以及数据质量监控；', '3、根据客户的运营需求，为报表开发及业务部门提供技术支持。', '任职资格：', '1、本科或以上学历，计算机、数学或相关专业；', '2、有数据仓库开发、数据建模、ETL开发经验；', '3、精通 SQL，对 Hive、SparkSQL查询优化有丰富的经验；', '4、了解 Sqoop，Kettle，Azkaban，Airflow，Spark 等大数据生态技术优先；', '5、有linux平台经验，熟悉 Shell 命令；', '6、有较强的性能优化及问题排查、解决能力；', '7、对开源技术非常感兴趣并具有一定的研究能力；', '8、有强烈的责任心、良好的沟通协调能力、团队合作精神、优秀的执行能力；', '9、良好的语言沟通与表达能力和自我驱动动力，具备较强的逻辑思维能力，能承受工作压力。', '附加信息：', '\uf0b7工作时间：周末双休', '\uf0b7上下班时间：09:30-18:30', '面试信息：', '\uf0b7面试方式：到场面试', '\uf0b7面试轮数：3-4轮', '\uf0b7时间安排：一天内完成', '\uf0b7补充标签：包含笔试']",上海浦东新区上海传奇商业广场635号,https://www.zhipin.com/job_detail/2b457f5d9bc949841XR-2N64FFBR.html?lid=Jmb6qJ9UxO.search.27&securityId=JUvZLcBMyIHKw-x1JzxcwCKTBbzPRA7_Z6nePXAu_uhIrm3S0epOXegXwgmKdH1O4RVFttmSf2AODGmrAOjJwGrMy_Y2Txi8Uknqzfm5n9mLRsR-LMw~&sessionId=
28,ETL工程师-大数据-区块链,凤虎宙思,20-40K,1-3年,学历不限,上海·长宁区·周家桥,"ETL,sql,数据仓库","['职位描述:', '搭建和持续优化基于云服务的大数据处理平台, 建立数据工程管道(data pipeline)，处理、集群、可视化和分析比特币交易数据 (>5 billion TX,  4000万以上的钱包)', '负责数据对接', '算法模型的工程化实施', '职位要求:', '- 具有1-3年或以上的大数据研发/架构开发经验', '熟悉SQL', ' 熟悉大数据计算领域研发,有TB级及以上大规模数据处理经验者优先', '- 具有SRE工具的经验：GCP或AWS 设置，服务器性能提升和成本优化经验', '- 良好的英文听，写能力', '加分项:', '-具有大数据算法优化经验（动态规划）', '- 扎实的数学基础，对图形数据库，graph theory, 动态规划有很好的理解', '- 调度和自动化工具的处理经验（Airflow，Kafka，..）', '-了解比特币UTXO交易模式', '- 良好的英语口语表达能力', '薪资待遇', '薪资范围20’000-40’000人民币/月，具体取决于经验（以及长期聘用的股权激励）', '公司介绍:', 'Blockdynamics是一家位于上海和香港的区块链大数据分析公司。 我们利用数据科学分析加密货币公链网络。为交易所提供反洗钱合规工具，给监管机构提供市场监管手段, 帮助区块链项目了解市场动态，也为DApp开发人员了解他们钱包的使用情况。我们的目标是为整个区块链社区提供最前沿的研究和见解。', 'Job Description - Shanghai', 'Bitcoin Transaction Data Engineering and Tracing ', 'We are looking for a skilled software engineer or data engineer that has an interest in the Bitcoin, Ethereum, or EOS ecosystem.  Your first task would be to set up a data engineering pipeline that allows us to process, cluster, visualize and analyze the entire bitcoin transaction data (>500M tx, 40M+ wallets). The process will involve caching the graph in adequate DB structure and updating connected edges using dynamic programming (other approaches are welcome, too). ', '(Required) You need to have a good understanding of: ', '- how to handle large amounts of data (e.g. lookup on >200GB files)', '- Good experience at optimizing runtime for handling large transaction tables (know the impact of Key-Value store, SQL, C++ mempool, etc) ', '- Have experience with SRE tooling: GCP or AWS setup, server optimization on performance and costs', '- Have a good understanding of graph representations, and have handled graphs before', '- Understand written English ', '(Preferred):', '- Have experience in algorithmic optimization to handle large batch processing tasks (for example, dynamic programming for propagation of tasks)', '- Exp. in Scheduling and Automation Tools (Airflow, Kafka, ..)', '- Have an understanding of the Bitcoin UTXO transaction model', '- Speak English', ""The work engagement would start immediately, half to full time, salary range 30-60k RMB / month (including potential equity payout for long-term engagements). Moreover, you'll be able to work with an ambitious startup team that aims to analyze, classify and make sense of the tremendous activity of blockchain networks!"", 'About us: Blockdynamics is a Shanghai and Hong Kong-based blockchain strategy and engineering startup. We leverage graph analytics to offer insights into the cryptocurrency networks. We provide crypto exchanges with the tools for anti-money laundering compliance, and regulators with the means for market oversight. We also help coin issuers understand the market dynamics underlying their token, and DApp developers the usage of their wallets. With this data-driven approach, we aim to provide cutting edge research and insights into the blockchain community as a whole.']",上海长宁区长宁来福士广场写字楼1座,https://www.zhipin.com/job_detail/5a9f568ec6f44f6f0nV-3t21ElI~.html?lid=Jmb6qJ9UxO.search.28&securityId=Nib3WiULC3OUY-U1WeEjZSqe7AbQk-fBRR2C-dWp2Yt8ItQYz6zmswwMTL_LAAMnx8kiATrzYo5AzyfwoSiSGg8n7xCeDTvnM-8W3XPPrutzdg8I&sessionId=
29,大数据etl开发工程师,迅策科技,6-8K,1年以内,本科,上海·浦东新区·陆家嘴,"估值、资讯,资管行业","['工作职责：', '1、应用系统部署：', '根据实施规范完成大数据平台、数据管控平台的部署落地和功能验证；', '2、数据治理：', '完成客户业务数据清洗；', '根据管控平台输出的质量稽核结果进行异常处理；', '在自研及客户自有调度系统上进行跑批任务调度配置。', '3、投研应用及指标验证：', '根据功能设计、指标算法文档及客户实际业务场景，完成投研应用场景、指标准确性验证。', '任职资格：', '1、熟悉金融资管行业业务知识体系；', '2、了解数据仓库体系；', '3、了解证券期货行业数据模型；', '4、了解CDH、TDH等常用大数据框架和关键组件；', '5、熟悉Oracle、MySQL等常见数据库，熟练编写SQL语句、存储过程等；', '6、良好的沟通表达能力和团队协作能力。']",上海浦东新区新梅联合广场B座1号,https://www.zhipin.com/job_detail/ea32c6f357e241d01X162du7FlFQ.html?lid=Jmb6qJ9UxO.search.29&securityId=3XrAzqi4wd1MQ-X114vx-EB63qrFR95Jk2ygKvIROkmABNVFG6toX7VDfu27A58z4E-tOd_Ib37nV3DSevdVhRaZJV2RKqHXAHkUPtz-2mkSdxUx&sessionId=
30,大数据讲师,鑫璨教育,11-20K,1-3年,本科,上海·青浦区·国家会展中心,"数据挖掘,大数据,数据开发,数据架构师,Python,架构师,人工智能,云计算","['人工智能讲师（兼职）', '岗位职责：', '1.每周直播并录制课程：', '每周定期直播并录制视频，要求每周不能够少于两堂课，时间灵活。', '2.线上辅导', '保持实时qq或者微信在线，不定期回复同学的提问，帮助同学快速解决问题。', '3.\xa0项目案例研发经验分享（有一线企业高工、一线院校教授指导）', '4.\xa0制作课件内容，制定课程大纲，根据个人时间安排计划课时。', '任职要求：', '1、 本科及以上学历，三年及以上人工智能工作经验，计算机、数学、物理等相关专业毕业。', '2、专业领域涉及到一种以上的人工智能专业领域：机器学习、深度学习、NLP自然语言处理，图像识别，语音识别，各类算法，计算机视觉、深度强化学习，大数据挖掘等。', '3、能独立制作课件内容，制定课程大纲，根据个人时间安排计划课时。', '4、良好的信息搜索、文献阅读及算法实现的能力。', '5、对教育教学工作有热情，愿意做知识分享。']",上海青浦区中国北斗产业技术创新西虹桥基地高光路园区5楼,https://www.zhipin.com/job_detail/f818ed7fc92661983nx709y4ElE~.html?lid=Jmb6qJ9UxO.search.30&securityId=6Ney1XHos2Tnz-Z1urrgr_c1ttbo4CWTkk1SzM0G0L6jK91FbX4Xn6VSLlmDR9l-RlX-Yn-S1rT4Z7z26h3E71wMY-fcR8albjQyeR48H5i1AgLk&sessionId=
1,大数据开发,蔚璟,19-35K·14薪,经验不限,学历不限,上海·浦东新区·迪士尼,"SQL,Hive,Flink","['职位概述：', '职位隶属于数据开发组，负责公司大数据开发以及报表设计', '支持业务的数据开发以及分析需求，跟数据开发人员一起建立业务的数据分析体系及平台;', '要求：', '具有三年以上大数据相关经验，ETL，离线数仓，实时开发经验', '具有较强的实时能力，熟练使用实时工具Flink等', '具有较强的SQL功底，熟练编写存储过程或函数，熟悉Hive SQL数据库，对数仓模型概念有一定了解。', '有一定云经验（阿里云，AWS云等）']",上海浦东新区上海迪士尼度假区1,https://www.zhipin.com/job_detail/d4e858dec8dd93191X183N-4E1ZU.html?lid=Jmb6qJ9UxO.search.31&securityId=agp41n1UvbwEa-u1neN3O4ihCXkriXsww9wuXloBZJdgxtafpuxAKd-dBttbMgFJgo2sPPA7p8yvbAjh9r69gGCTjNsryKJjvqLaRMOIWz80QixC_ZfowF2skwmHOejJ3IOBeNSkXzYO76iZ0dcK3p4~&sessionId=
2,大数据开发,新致软件,14-19K,3-5年,本科,上海·虹口区·曲阳,"监管报送,DataX","['1、熟悉SQL语言，熟练掌握Hive、MPPDB等大数据开发技能，具备3年以上关系型、分布式数据库设计和开发经验;', '2、熟悉常用ETL工具，比如sqoop和kettle。', '3、熟悉linux操作系统命令，有编写shell脚本和perl脚本的能力.', '4、有良好的学习能力、有较强的责任心和主动性，良好的团队协作能力、抗压能力。', '5、有银行系统开发经验者优先。']",上海虹口区中国工商银行软件开发中心上海研发部(曲阳园区)曲阳路800号,https://www.zhipin.com/job_detail/15819f5cf5ea6c110Xx_2Ni1FVA~.html?lid=Jmb6qJ9UxO.search.32&securityId=OrqQ5mCPu2yDQ-S1K72wmrXOl3LD2ghBNaskst3bdzNHpNsumtHDE2lWmA9pFM0BGuy6GgaevhC2X3f11JnZavRoLKCZ0DNfD3_75mj7e6r5wJwOrJGCpXgklM7clbyVFvmTThtf1OFS5DaYIzY~&sessionId=
3,大数据开发,上海炫绍,20-30K,3-5年,本科,上海·闵行区·浦江,"ETL,Java,SQL,分布式技术,大数据,MySQL,Oracle","['职责描述：', '1.根据需求制定数据治理方案', '2.根据需求完成相关组件的选型、开发、部署及开发工作', '3.根据需求完成对医疗行业相关数据的治理及模型预研、开发、测试、部署、运维等相关工作', '4.根据需求完成常规大数据实时及批量处理任务，并部署上线、运维等工作', '5.完成公司其他数据服务等工作', '任职要求：', '1.计算机相关专业本科及以上学历，具备扎实的计算机基础理论知识，5年左右相关工作经验', '2.精通数据库原理，精通使用Spark ，熟练使用SQL，熟悉Hadoop、Hive、Oracle、MySQL、PostgreSQL、Greenplum、Tidb等数据库，熟悉SQL性能优化，有数据库运维经验；', '3.能够熟练使用Scala、Java语言进行相关开发;', '4.熟悉数据治理，有数据治理实际经验者优先', '5.有良好的沟通、协作能力，乐于接受挑战，能承受较大工作压力与适度加班']",上海闵行区复地浦江中心1号楼1号楼,https://www.zhipin.com/job_detail/9d49a3fad434f1ee1nVz3Nu0GVZQ.html?lid=Jmb6qJ9UxO.search.33&securityId=aPSusA7t-RyvC-31Eq2FUWdUMjx78qHdEFBF-dR6iC1reDLzuLoMQe9sRt8VrMY_RMwH78Q4nL55G8vXZ0YadhlZ4_2iii8nHH8XwqyRUbLQJBBQQ2Q~&sessionId=
4,大数据运维,恒驰信息,16-22K·15薪,1-3年,本科,上海·静安区·曹家渡,"系统运维,HDFS,HBASE,HIVE",,,https://www.zhipin.com/job_detail/994776a7c88287261XJz3Nm0GFdX.html?lid=Jmb6qJ9UxO.search.34&securityId=BmkfjK3zYj-Ur-c10uekINHu1IXMr5p6ilBM64SZIMEos88hniOfnOTaexpdg51y2Cg0ByRA5deGBuecGgb6VB8-TZ1-SQXypVhGSGbt8gEYM7wy&sessionId=
5,大数据开发,中免日上互联科技...,25-50K·16薪,5-10年,本科,上海·浦东新区·机场镇,"Java,Python,SQL,Scala,HIVE,Spark,MapReduce,Yarn","['岗位职责：', '（1）参与大数据相关系统的开发以及维护；', '（2）业务数据的清洗、整理和加工；', '（3）参与业务方变量的设计/加工/计算', '（4）大数据平台相关系统的日常运维', '任职要求：', '（1）熟悉大数据相关技术,如CDH,Hive等；', '（2）具备java实际开发经验，并对java虚拟机有较深刻的理解，掌握常用java开源框架；', '（3）熟悉Maven的使用，理解Maven的原理与使用技巧，熟练用Git进行代码版本控制；', '（4）用SQL处理大量数据，熟悉SQL优化及调优,能够建立合理高效的数据模型', '（5）熟悉常见NoSQL数据库，如Mongodb，Hive等；', '（6）熟悉分布式系统原理及以面向数据的建模方法；', '（7）熟悉hadoop集群的搭建、管理及优化；', '（8）熟悉HDFS/Hive/MapReduce/Yarn/Spark等相关技术,有Spark程序的实战开发经验；', '（9）良好的沟通能力、团队协作能力，及执行力。', '（10）熟悉scala/python语言优先。']",上海浦东新区迎宾花苑(朝晖路)75号,https://www.zhipin.com/job_detail/52edc11a6566b1a01nx42NS_GVFR.html?lid=Jmb6qJ9UxO.search.35&securityId=u82I9OWTFabfm-U1jOzhHBEzubltr-TAs8wKl8povrBkynrhREDxI3p05N_O7ErR_MeBiECAHD1aqwX9JBmfRVPI9tpfi6OCZsxyXAWsbk7wV_kGZsY~&sessionId=
6,大数据开发,网易游戏,30-60K·16薪,5-10年,本科,上海·青浦区·徐泾,"Spark,Shell,Python,大数据开发经验,数仓建设经验","['工作职责： 1.基于Hadoop数据平台，参与数据开发及各类数据模型建设工作； 2.负责数仓任务开发并对现有数仓进行优化； 3.负责公司端游和手游等游戏项目的数据中心的建设，和数据报表的开发； 4.参与公司其他大数据类研发项目，结合大数据平台探索应用场景并参与实施。 ', ' 职位要求', ' 1.本科及以上学历，3年及以上数仓开发工作经验； 2.熟悉数仓领域各种理论知识，如元数据管理，数据质量治理等，可以根据实际业务设计数仓模型； 3.对Hive有相对深入的理解及实际优化经验，熟悉Linux常用命令，以及Python、Shell等脚本语言； 4.熟练使用Hadoop生态圈技术，如：Hive、Hbase、MapReduce、Kafka、Flume等； 5.熟悉Kafka、Pulsar、RabbitMQ等至少一种消息中间件，熟悉 Storm、Flink、Spark Streaming等至少一种流式数据处理框架； 6.具备一定的Java开发及调试能力，熟悉可视化工具者优先；  7.具有强烈的责任心和充分的主动性，能够积极主动的推进项目的进展； 8.具有较强的抗压能力和学习能力，能够独立、高效地发现和解决或推动解决各种疑难问题； 9.具有良好的沟通能力和团队合作能力。']",上海青浦区网易(上海)网络有限公司1,https://www.zhipin.com/job_detail/702dbff521144e801Xdz2N2-ElBX.html?lid=Jmb6qJ9UxO.search.36&securityId=uqoYlqgj1lipo-31oLPuznwBYk2S_1SiRst50AYRm-wTo_DB9FKadU-a6so4SC1E_5ft0auFlbsQAvS76E7ctNDc_hX3m-svYQLh6dX-G2Mt8zqX&sessionId=
7,大数据产品,海尔消费金融公司,20-40K·14薪,5-10年,本科,上海·浦东新区·陆家嘴,"产品设计,Xmind","['岗位职责：', '1. 根据当前业务发展的情况，结合业务团队需求，规划符合中长期需要的数据平台产品体系。', '2. 产品的研发测试周期，负责日常的产品需求文档输出、需求评审、产出产品PRD和DEMO，及协助完成验收上线，协调各团队资源按时交付产品并完成对业务相关部门的培训工作，推进数据化驱动在业务中的应用和落地。', '3. 全面了解公司业务逻辑，参与数据需求分析。', '4. 负责具体数据产品PRD，原型图设计，功能模块设计，流程设计。', '5. 负责管理外部数据产品采购流程，包括采购立项，POC, 招标，维保等所有环节。', '6. 负责数据产品的项目管理。', '岗位要求：', '1. 5年以上大数据相关产品经理背景，独立负责过一个完整数据产品的设计和管理（包括数据开发产品，数据治理产品，数据应用产品）。', '2. 产品设计专业知识（产品规划、产品设计、原型设计、项目管理）及工具（xmind，PR等）', '3. 良好的口头表达能力，规范的各类文档编写能力，良好的沟通能力，较好的解决方案输出能力。', '4. 有风控、营销相关数据应用产品设计经验者优先。', '4. 有较强的产品owner意识及自驱能力，学习能力强，愿意接受挑战，能在较大压力下保持工作激情。', '5. 了解大数据技术，如hadoop、spark、hive、hbase等，了解人工智能技术，如机器学习、深度学习等。', '6. 优秀的需求沟通，分析，拆解能力，能快速理解业务需求并将之翻译成数据需求。']",上海浦东新区金砖大厦12楼,https://www.zhipin.com/job_detail/4665db871c47e94c1HR63Nu5EFZZ.html?lid=Jmb6qJ9UxO.search.37&securityId=UjFsbXuymD_4L-a1b8i3BJ2EfJiuZgnjIlm-mh24kSVMN79UdZI9pLX9D5gy6KFI8uIz_rnpzRFI0X_12Y3kYgcGs23ZbQPGhb85Wpa9RbhtGzOo&sessionId=
8,大数据开发,微软中国,50-80K·14薪,3-5年,本科,上海,"大数据开发经验,数据治理","['资格：', '2年以上专业软件开发经验。', '精通一种或多种编程语言，如Java、Golang和C#。', '扎实的数据结构知识，熟悉常用算法。', '良好的面向对象设计知识和对函数式编程概念的基本理解', '加分项：', '计算机科学、数学/物理或工程学士/硕士学位，或同等经验。', '熟悉集装箱相关技术(Docker，Kubernetes)。', '有定制Kubernetes的经验，如开发运营商和定义CRDs。', '有web服务开发经验，熟悉相关技术(SpringCloud，REST)。', '在数据目录、沿袭、发现和数据政策等数据治理领域拥有丰富经验，熟悉Apache Atlas、Egeria和OpenLineage等相关技术。', '熟悉云平台，如Azure，AWS，GCP，阿里云等。', '熟悉流行的数据存储(关系、文档、宽列、键值等)，如MySQL、Oracle、SQLServer、MongoDB、CosmosDB、Redis、Cassandra、Hbase、S3、Azure Storage等。', '熟悉Spark，Hadoop，Flink，Kafka这样的大数据技术。', '熟悉全文搜索技术(Apache Lucene，Elastic Search & Apache Solr)。', '熟悉图形数据库(Neo4j，Gremlin & JanusGraph等)', '熟悉机器学习和自然语言处理。', '熟悉工作流相关技术(Apache Airflow等)。', '熟悉服务网格技术(Istio)。', '熟悉现代安全模型，如OAuth和基于令牌的身份验证和授权。', '经验建设和航运生产级软件或服务。', '使用敏捷方法或测试驱动开发(TDD)的经验。', '极大的好奇心和质疑的意愿。', '在快节奏的竞争环境中，具有高度的热情、正直、独创性、以结果为导向、自我激励和足智多谋。', '强烈渴望协同工作，与团队一起解决问题，找到双赢的解决方案并庆祝成功。', '对技术难题的挑战感到兴奋。', '始终带着深深的激情和对客户的同情来解决问题。', '#权限', '#数据治理 ', '职责：', '我们正在寻找一位在后端服务和数据管道方面有经验的优秀软件工程师，来构建下一代微软的数据治理服务。', '设计和开发大型分布式系统。', '在生产中部署和运营服务。', '与客户合作解决他们的问题，并收集对新功能的需求。', '与直接团队内外的微软利益相关者合作，确保我们的代码是合规和安全的，就像它解决了客户的问题一样。', '概述：', '我们是Azure组织的Azure数据团队的一部分。Azure数据团队在运营商店、大数据和治理等技术方面提出了有趣的挑战。我们在Azure上为治理和数据分析构建可靠、高度可扩展和高性能的分布式系统。我们与各种开源技术合作，如Atlas、Spark、ElasticSearch、Kubernetes等。，并为这些技术做出贡献。我们正在构建下一代微软数据库云服务器规模的数据治理服务，利用微软的权限，并帮助我们将其功能和规模提升到新的水平。这是一个千载难逢的机会，让我们成为一个非常敏捷的团队的一部分，处理困难的分布式系统问题，并快速发布关键任务特性。微软让客户控制他们的个人数据，并通过对治理基础设施的持续投资来支持这一承诺。我们的团队负责所有公司数据的治理合规性，我们每天对数十亿数据资产进行编目、分类和实施策略。我们需要合作的开发人员，他们能够想得更远，应对那些巨大的挑战，并在此过程中改变世界。我们正在寻找从头开始建造它们的工程师。', '由于服务的高可见性和高业务影响，职业发展更快。', '自主驱动主要功能领域。', '前沿技术(Spark、Kubernetes、Atlas、Egeria、Elastic Search、Flow Engine、GraphDB、NLP、connector framework、Scanning、Airflow)。', '协作、支持的文化', ' ', 'Azure数据治理中国团队有从初级到高级的职位空缺。我们正在寻找对大数据、数据发现和数据治理充满热情的顶尖人才。您将学习最前沿的大数据服务，如目录、Spark、Kubernetes、血统、扫描、工作流和搜索引擎。您需要学习数百个工业数据存储，构建可扩展的扫描和元数据连接器框架，以可扩展和可伸缩的方式从这些存储中检索元数据和分类。您将有机会接触客户，了解/解决真正的客户难题。']",上海徐汇区微软中国闵行区紫星路999弄,https://www.zhipin.com/job_detail/93f33f2255638c1f1HR_2tW9F1JZ.html?lid=Jmb6qJ9UxO.search.38&securityId=fAhzC1LgmOEL0-_1uUbOYxlWVAvGAfzz7dY0sRD7xWxBKcfEvtmFJP7X7hOESjPkuDj6SWlVQfWzH6yxC2O8cTZ-OS2K0BRTwVkaNdDOOYwAsx8~&sessionId=
